,Unnamed: 0,id,title,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1536,1687,ts42432,28 Faces of the Moon,SHOW,2016,18,6.4,25.0,3.956,6.0
1541,1693,ts81898,Kazoops!,SHOW,2016,11,7.5,122.0,1.284,8.0
1542,1694,ts38813,Bottersnikes & Gumbles,SHOW,2016,13,5.1,47.0,3.816,7.3
1544,1696,ts42371,Fangbone!,SHOW,2016,22,6.2,312.0,1.481,5.6
1557,1710,ts53346,Chasing Cameron,SHOW,2016,28,3.8,501.0,1.968,5.8
1563,1719,ts86089,Under the Black Moonlight,SHOW,2016,10,5.0,56.0,2.682,4.0
1565,1721,ts41151,Hibana: Spark,SHOW,2016,53,7.9,798.0,5.713,7.8
1570,1727,ts83450,Close Your Eyes Before It's Dark,SHOW,2016,84,7.0,218.0,2.87,7.0
1571,1728,ts53017,Best Lover,SHOW,2016,45,6.8,74.0,3.951,9.7
1572,1729,ts54117,Luna Petunia,SHOW,2016,24,6.2,58.0,2.504,8.0
1578,1735,ts53543,The Miracle,SHOW,2016,18,6.3,210.0,10.889,8.0
1581,1739,ts41485,Vanished 46,SHOW,2016,61,8.4,4269.0,3.44,7.8
1588,1747,ts84542,Magic Cellphone,SHOW,2016,13,4.1,21.0,2.159,10.0
1590,1750,ts36634,Diamond Lover,SHOW,2015,45,6.4,138.0,16.282,7.5
1608,1777,ts36741,Fartsa,SHOW,2015,60,6.7,195.0,2.355,7.3
1610,1779,ts35963,Singles Villa,SHOW,2015,45,7.7,28.0,0.992,7.5
1629,1806,ts53513,Back to 1989,SHOW,2016,44,8.0,106.0,4.257,8.8
1633,1811,ts83535,Popples,SHOW,2015,25,6.0,57.0,8.408,8.0
1637,1815,ts38703,My Little Baby,SHOW,2016,37,6.9,103.0,6.772,5.4
1638,1816,ts83449,Love Storm,SHOW,2016,87,5.5,325.0,4.504,9.0
1643,1824,ts53864,Ozark,SHOW,2017,60,8.5,278223.0,290.316,8.2
1644,1825,ts77795,Derry Girls,SHOW,2018,25,8.4,28718.0,27.308,8.2
1645,1826,ts56683,The Sinner,SHOW,2017,45,7.9,117055.0,65.193,7.5
1647,1828,ts55668,Dark,SHOW,2017,56,8.7,354443.0,152.46,8.4
1652,1833,ts53023,Riverdale,SHOW,2017,42,6.7,139154.0,369.341,8.5
1653,1834,ts81064,Legacies,SHOW,2018,42,7.3,28877.0,270.461,8.5
1654,1835,ts42405,Mindhunter,SHOW,2017,53,8.6,261429.0,45.108,8.0
1656,1837,ts83970,All American,SHOW,2018,42,7.6,9704.0,65.499,8.2
1658,1839,ts81294,Manifest,SHOW,2018,42,7.1,50145.0,87.315,7.7
1659,1840,ts78305,Elite,SHOW,2018,48,7.4,73062.0,531.821,8.1
1660,1841,ts78801,Cobra Kai,SHOW,2018,31,8.6,163858.0,385.985,8.2
1661,1842,ts79813,You,SHOW,2018,47,7.7,225949.0,80.568,8.2
1662,1843,ts77398,Lost in Space,SHOW,2018,49,7.3,96868.0,52.535,7.6
1664,1846,ts57120,Good Girls,SHOW,2018,42,7.7,49867.0,51.087,8.1
1666,1848,ts81884,Bodyguard,SHOW,2018,60,8.1,114446.0,26.109,7.9
1667,1849,ts75151,Godless,SHOW,2017,65,7.6,27.0,32.203,7.8
1668,1850,ts54102,Altered Carbon,SHOW,2018,52,7.9,162018.0,59.428,7.8
1669,1851,ts75097,Maniac,SHOW,2018,39,7.7,74877.0,18.19,7.4
1670,1852,ts84785,Dirty John,SHOW,2018,44,7.3,20817.0,14.581,7.3
1672,1854,ts42477,Babylon Berlin,SHOW,2017,49,8.4,23256.0,25.424,7.9
1673,1855,ts81208,Charmed,SHOW,2018,42,4.5,16091.0,126.643,7.4
1674,1856,ts58433,The Haunting of Hill House,SHOW,2018,58,8.6,226817.0,36.217,8.1
1675,1857,ts57850,HAPPY!,SHOW,2017,43,8.1,37747.0,12.512,7.5
1676,1858,ts53663,Workin' Moms,SHOW,2017,22,7.8,14892.0,14.338,7.8
1678,1860,ts79229,Wild Wild Country,SHOW,2018,67,8.1,29298.0,13.095,7.9
1679,1861,ts77955,Somebody Feed Phil,SHOW,2018,52,8.2,4420.0,7.234,7.5
1680,1862,ts75879,Big Mouth,SHOW,2017,27,7.9,74660.0,68.109,7.8
1682,1864,ts57465,Dynasty,SHOW,2017,42,7.2,21136.0,62.172,8.2
1684,1866,ts54054,Imposters,SHOW,2017,43,7.8,13238.0,19.835,7.3
1685,1867,ts55982,Anne with an E,SHOW,2017,46,8.7,51001.0,147.762,8.8
1688,1870,ts58133,Manhunt,SHOW,2017,43,8.1,57459.0,39.681,7.7
1691,1873,ts53545,Santa Clarita Diet,SHOW,2017,29,7.9,64467.0,26.17,7.5
1693,1875,ts84328,The Bureau of Magical Things,SHOW,2018,23,6.7,1914.0,15.122,7.6
1694,1876,ts53198,One Day at a Time,SHOW,2017,29,8.2,15669.0,27.347,8.0
1695,1877,ts76243,The End of the F***ing World,SHOW,2017,21,8.1,177868.0,60.765,8.2
1696,1878,ts58367,Safe,SHOW,2018,45,7.2,41822.0,18.515,6.9
1697,1879,ts55720,GLOW,SHOW,2017,34,8.0,44751.0,18.959,7.4
1698,1880,ts77852,Trolls: The Beat Goes On!,SHOW,2018,21,5.8,798.0,14.06,8.6
1699,1881,ts78430,Collateral,SHOW,2018,57,6.7,17304.0,15.543,6.4
1701,1883,ts56261,Castlevania,SHOW,2017,26,8.3,61114.0,97.7,8.3
1703,1885,ts82849,The Kominsky Method,SHOW,2018,26,8.2,38232.0,16.555,7.6
1704,1886,ts74809,Knightfall,SHOW,2017,44,6.7,19809.0,30.484,7.0
1705,1887,ts56969,Atypical,SHOW,2017,31,8.3,81643.0,40.8,8.3
1706,1888,ts58155,Alias Grace,SHOW,2017,44,7.7,31577.0,15.686,7.4
1708,1890,ts76458,Deadwind,SHOW,2018,46,7.3,8762.0,16.444,6.8
1710,1892,ts39015,A Series of Unfortunate Events,SHOW,2017,47,7.8,59239.0,33.836,7.3
1712,1894,ts74816,American Vandal,SHOW,2017,33,8.1,29972.0,20.845,7.6
1713,1895,ts52821,Watership Down,SHOW,2018,50,7.2,6043.0,6.412,6.9
1714,1896,ts77563,Mystery Science Theater 3000,SHOW,2017,86,8.2,3605.0,4.991,7.9
1715,1897,ts80856,Chilling Adventures of Sabrina,SHOW,2018,57,7.4,90327.0,124.52,8.3
1721,1903,ts76869,Violet Evergarden,SHOW,2018,25,8.4,19940.0,56.177,8.7
1722,1904,ts82526,Narcos: Mexico,SHOW,2018,56,8.4,80902.0,58.895,7.9
1724,1906,ts72247,Disenchantment,SHOW,2018,29,7.2,58639.0,74.537,7.6
1727,1909,ts82189,BAKI,SHOW,2018,24,6.7,5706.0,309.314,8.1
1731,1913,ts74823,Wet Hot American Summer: Ten Years Later,SHOW,2017,27,6.9,8502.0,17.018,6.6
1734,1916,ts77197,Seven Seconds,SHOW,2018,62,7.7,15323.0,13.897,7.4
1737,1919,ts76865,Devilman Crybaby,SHOW,2018,25,7.6,18575.0,68.38,7.9
1739,1921,ts312241,Oats Studios,SHOW,2017,6,6.4,870.0,8.612,8.0
1740,1922,ts121489,Two Sentence Horror Stories,SHOW,2017,22,5.5,1841.0,18.063,5.5
1742,1924,ts55781,Black Spot,SHOW,2017,55,7.4,10705.0,13.547,7.0
1743,1925,ts87369,Rust Valley Restorers,SHOW,2018,45,7.8,2732.0,21.89,8.1
1745,1927,ts78080,Everything Sucks!,SHOW,2018,24,7.5,18023.0,24.964,7.6
1747,1929,ts58307,Bad Blood,SHOW,2017,46,7.5,9593.0,11.787,7.5
1748,1930,ts55645,Five Came Back,SHOW,2017,65,8.3,4600.0,6.841,7.8
1750,1932,ts78558,Queer Eye,SHOW,2018,47,8.5,18147.0,14.475,7.8
